ProductBrand,ProductName,ProductPrice,ProductRate
Huawei,HUAWEI NOVA 9 SE 128 GB AKILLI TELEFON BEYAZ,8999,4.0
Oppo,Oppo A16 64gb Akıllı Telefon Kristal Siyahı,4299,4.0
Oppo,Oppo A55 4+128gb Akıllı Telefon Işıltılı Siyah,5499,4.0
Oppo,Oppo A55 4+128gb Akıllı Telefon Gökkuşağı Mavisi,5499,4.0
Oppo,Oppo A16 64gb Akıllı Telefon İnci Mavisi,4299,4.0
Oppo,OPPO A96 (6GB+128GB) Akıllı Telefon Günbatımı Mavisi,7499,5.0
Oppo,OPPO A96 (6GB+128GB) Akıllı Telefon Işıltılı Siyah,7499,5.0
Realme,Realme C25Y (4GB+128GB) Metal Grisi,4799,4.0
Samsung,SAMSUNG GALAXY A23 6/128 GB AKILLI TELEFON SİYAH,6999,4.0
Samsung,SAMSUNG GALAXY A23 6/128 GB AKILLI TELEFON MAVİ,6999,4.0
Samsung,SAMSUNG GALAXY A23 6/128 GB AKILLI TELEFON BEYAZ,6999,4.0
Samsung,SAMSUNG GALAXY A73 5G 128 GB AKILLI TELEFON BEYAZ,12499,4.0
Samsung,SAMSUNG GALAXY A33 5G 128 GB AKILLI TELEFON SİYAH,8999,4.0
Samsung,SAMSUNG GALAXY S21 FE 5G 128 GB AKILLI TELEFON GRAFIT,15999,4.0
Samsung,SAMSUNG GALAXY A04s 128 GB AKILLI TELEFON SİYAH,4999,4.0
Samsung,SAMSUNG GALAXY A04s 128 GB AKILLI TELEFON BAKIR,4999,5.0
Samsung,SAMSUNG GALAXY A33 5G 128 GB AKILLI TELEFON BEYAZ,8999,4.0
Samsung,SAMSUNG GALAXY A04s 128 GB AKILLI TELEFON BEYAZ,4999,4.0
Samsung,SAMSUNG GALAXY A33 5G 128 GB AKILLI TELEFON MAVİ,8999,4.0
Samsung,SAMSUNG GALAXY A23 4/128 GB AKILLI TELEFON SİYAH,7999,4.0
Samsung,SAMSUNG GALAXY S22 ULTRA 256 GB AKILLI TELEFON YEŞİL,33998,4.0
Samsung,SAMSUNG GALAXY S22 128 GB AKILLI TELEFON FANTOM SİYAH,19998,4.0
Samsung,SAMSUNG GALAXY S22 ULTRA 256 GB AKILLI TELEFON FANTOM BEYAZ,33998,0.0
Samsung,SAMSUNG GALAXY S21 FE 5G 128 GB AKILLI TELEFON BEYAZ,15999,4.0
Samsung,SAMSUNG GALAXY S21 FE 5G 128 GB AKILLI TELEFON LAVANTA,15999,4.0
Samsung,Samsung Galaxy A32 128 Gb Akıllı Telefon Açık Mor,7999,4.0
Samsung,Samsung Galaxy Z Flıp3 5g 128 Gb Akıllı Telefon Green,18999,5.0
Samsung,Samsung Galaxy S20 Fe 128 Gb Lacivert,11999,4.0
Samsung,Samsung Galaxy A32 128 Gb Akıllı Telefon Beyaz,7999,4.0
Samsung,SAMSUNG GALAXY S22 128 GB AKILLI TELEFON YEŞİL,19998,4.0
Samsung,SAMSUNG GALAXY S22 ULTRA 128 GB AKILLI TELEFON FANTOM SİYAH,32998,4.0
Samsung,Samsung Galaxy Z Flıp3 5g 128 Gb Akıllı Telefon Fantom Siyah,18999,5.0
Samsung,Samsung Galaxy S20 Fe 128 Gb Beyaz Telefon,11999,4.0
Samsung,SAMSUNG GALAXY A73 8/256 GB AKILLI TELEFON KOYU GRİ,14499,0.0
Samsung,SAMSUNG GALAXY S22 128 GB AKILLI TELEFON PEMBE ALTIN,19998,4.0
Samsung,SAMSUNG GALAXY S21 FE 5G 128 GB AKILLI TELEFON ZEYTİN,15999,4.0
Samsung,SAMSUNG GALAXY Z FOLD 4 AKILLI TELEFON BEJ,38999,5.0
Samsung,SAMSUNG GALAXY S22 ULTRA 512 GB AKILLI TELEFON FANTOM BEYAZ,35998,0.0
Samsung,SAMSUNG GALAXY S22 PLUS 256 GB AKILLI TELEFON FAMTOM SİYAH,28998,4.0
Samsung,Samsung Galaxy S20 Fe 128 Gb Lavanta Telefon,11999,4.0
Samsung,Samsung Galaxy A32 128 Gb Akıllı Telefon Mavi,7999,4.0
Samsung,SAMSUNG GALAXY A73 8/256 GB AKILLI TELEFON MİNT YEŞİLİ,14499,0.0
Samsung,SAMSUNG GALAXY Z FOLD 4 AKILLI TELEFON KOYU YEŞİL,38999,5.0
Samsung,Samsung Galaxy Z Flıp3 5g 128 Gb Akıllı Telefon Cream,18999,5.0
Samsung,SAMSUNG GALAXY Z FLIP 4 AKILLI TELEFON,25999,0.0
Samsung,SAMSUNG GALAXY A73 8/256 GB AKILLI TELEFON BEYAZ,14499,5.0
Samsung,SAMSUNG GALAXY S22 ULTRA 128 GB AKILLI TELEFON YEŞİL,32998,4.0
Samsung,SAMSUNG GALAXY S22 PLUS 256 GB AKILLI TELEFON FANTOM BEYAZ,28998,4.0
Samsung,Samsung Galaxy Z Fold3 5g 256 Gb Akıllı Telefon Gümüş,28999,5.0
Samsung,SAMSUNG GALAXY S22 ULTRA 128 GB AKILLI TELEFON FANTOM BEYAZ,32998,0.0
Samsung,SAMSUNG GALAXY S22 PLUS 128 GB AKILLI TELEFON PEMBE GOLD,26998,0.0
Samsung,SAMSUNG GALAXY S22 128 GB AKILLI TELEFON FANTOM BEYAZ,19998,4.0
Samsung,SAMSUNG GALAXY S20 FE DUAL 256 GB AKILLI TELEFON BEYAZ,15499,0.0
Samsung,SAMSUNG GALAXY S20 FE DUAL 256 GB AKILLI TELEFON LACİVERT,15499,0.0
Samsung,SAMSUNG GALAXY S20 FE DUAL 256 GB AKILLI TELEFON MİNT YEŞİLİ,15499,0.0
Samsung,SAMSUNG GALAXY S20 FE DUAL 256 GB AKILLI TELEFON LAVANTA,15499,0.0
Samsung,SAMSUNG GALAXY Z FOLD 4 AKILLI TELEFON SİYAH,38999,5.0
Samsung,SAMSUNG GALAXY A33 5G 128 GB AKILLI TELEFON TURUNCU,8999,4.0
Samsung,SAMSUNG GALAXY S22 ULTRA 128 GB AKILLI TELEFON BORDO,32998,4.0
Samsung,SAMSUNG GALAXY S22 ULTRA 256 GB AKILLI TELEFON FANTOM SİYAH,33998,4.0
Samsung,SAMSUNG GALAXY S22 ULTRA 256 GB AKILLI TELEFON BORDO,33998,4.0
Samsung,SAMSUNG GALAXY S22 ULTRA 512 GB AKILLI TELEFON FANTOM SİYAH,35998,5.0
Samsung,SAMSUNG GALAXY S22 ULTRA 512 GB AKILLI TELEFON YEŞİL,35998,4.0
Samsung,SAMSUNG GALAXY S22 ULTRA 512 GB AKILLI TELEFON BORDO,35998,4.0
Samsung,SAMSUNG GALAXY S22 PLUS 128 GB AKILLI TELEFON FANTOM BEYAZ,26998,4.0
Samsung,Samsung Galaxy Z Fold3 5G 256 GB Akıllı Telefon Siyah,28999,5.0
Samsung,Samsung Galaxy Z Fold3 5g 256 Gb Akıllı Telefon Yeşil,28999,5.0
Samsung,Samsung Galaxy S20 Fe 128 Gb Mint Yeşili Telefon,11999,4.0
Samsung,Samsung Galaxy A32 128 Gb Akıllı Telefon Siyah,7999,4.0
Tcl,ALCATEL-TCL 1068D SİYAH TUŞLU TELEFON,799,3.0
Tcl,ALCATEL-TCL 2020X GRAY TUŞLU TELEFON,1199,5.0
Tcl,Tcl 20e 3/32 Gb Akıllı Telefon Mavi,2999,5.0
Tcl,ALCATEL-TCL 2057D BEYAZ TUŞLU TELEFON,1199,3.0
Tcl,ALCATEL-TCL 2057D SİYAH TUŞLU TELEFON,1199,3.0
Tcl,TCL 30 PLUS 4/128 GB AKILLI TELEFON MAVİ,6999,3.0
Tcl,TCL 30 SE 4/64 GB AKILLI TELEFON MAVİ,5499,0.0
Tcl,TCL 30 SE 4/64 GB AKILLI TELEFON GRAY,5499,4.0
Tecno,Tecno Camon 19 Pro 8/128GB Akıllı Telefon Siyah,8999,4.0
Tecno,Tecno Camon 19 Pro 8/128GB Akıllı Telefon Kutup Mavisi,8999,0.0
Tecno,Tecno Spark 9 Pro 4GB /128GB Akıllı Telefon Siyah,5799,5.0
Tecno,Tecno Spark 8C 4/128GB KG5q Akıllı Telefon Turkuaz,4999,0.0
Tecno,Tecno Spark 8C 4/128GB KG5q Akıllı Telefon Siyah,4999,5.0
Tecno,Tecno Spark 8C 4/64 Gb Akıllı Telefon Siyah,4299,4.0
Tecno,Tecno Camon 19 Neo 6/128GB Akıllı Telefon Siyah,6799,0.0
